"","State","Report_year","gdp","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","Arizona","2011",257947.8,7304,930.01,1616.47,184,21.4,2438832,894,106.22,4984,558.82,13366,0.00548049230123272,0.00299487623583748,0.000366568914956012,0.0020436011992626,7.54459511766288e-05
"2","Arizona","2012",268289,8726,1044.18,1760.65,179,19.28,2468435,962,119.55,5245,577.64,15112,0.00612209760435255,0.00353503333083512,0.000389720612452829,0.00212482807932962,7.25155817349859e-05
"3","Arizona","2013",275199,8713,1008.76,1668.97,187,21.62,2483780,1054,127.87,4713,510.7,14667,0.0059051123690504,0.00350795964215832,0.000424353203584859,0.00189751105170345,7.52884716037652e-05
"4","Arizona","2014",284573.8,8083,988.69,1683.37,162,16.9,2519272,1657,195.95,4409,481.81,14311,0.0056806093188826,0.00320846657288296,0.000657729693339981,0.00175010876157874,6.43042910809154e-05
"5","Arizona","2015",297116.4,8380,975.32,1667.9,159,16.43,2560453,1679,195.97,4487,480.17,14705,0.00574312436119702,0.00327285835748596,0.000655743339166936,0.00175242427804767,6.2098386496452e-05
"6","California","2011",2050056.8,28175,3136.87,6014.19,712,75.35,9831203,2142,212.57,24073,2589.41,55102,0.0056048074686282,0.00286587511213022,0.000217877710388037,0.00244863217655052,7.24224695594222e-05
"7","California","2012",2144497,28176,3162.34,6320.09,779,87.08,9917233,2354,233.02,24485,2837.64,55794,0.00562596441971264,0.00284111505699221,0.000237364595547972,0.00246893463126257,7.85501359098854e-05
"8","California","2013",2262771,26593,2922.21,6124.24,646,70.21,9978837,2113,202.5,24096,2929.32,53448,0.00535613518890027,0.0026649398121244,0.000211748122551756,0.00241471025130484,6.47370029192781e-05
"9","California","2014",2396552.1,29622,3091.78,5699.12,618,63.2,10124445,2809,246.89,20994,2297.28,54043,0.00533787284142489,0.00292579000626701,0.000277447306988186,0.00207359514521537,6.10403829543249e-05
"10","California","2015",2557131.9,33263,3085.5,5916.86,703,71.71,10276725,4532,358.28,22822,2401.37,61320,0.00596688147245353,0.00323673154628542,0.000440996523697968,0.00222074639537401,6.84070070961323e-05
"11","Colorado","2011",264431.6,2896,578.77,1050.33,49,9.69,941352,583,121.39,1650,340.48,5178,0.00550059913826071,0.00307642624650503,0.000619321996447662,0.00175279810315376,5.20527921542632e-05
"12","Colorado","2012",273520,3024,581.48,1033.58,56,11.25,965497,555,111.98,1650,328.88,5285,0.0054738647556647,0.0031320656615194,0.000574833479544732,0.0017089643986465,5.8001215954063e-05
"13","Colorado","2013",288305,3116,578.26,1046.71,61,12.14,992465,743,145.18,1602,311.12,5522,0.00556392416861048,0.0031396573178903,0.000748641010010429,0.00161416271606555,6.1463124644194e-05
"14","Colorado","2014",306362,3146,571.66,1008.96,40,7.22,1016301,744,148.58,1502,281.49,5432,0.00534487322161446,0.00309553960883636,0.000732066582636443,0.00147790861172035,3.93584184213142e-05
"15","Colorado","2015",317977.9,3605,637.97,1134.74,77,14.43,1042655,900,178.01,1677,304.32,6259,0.00600294440634726,0.00345751950549319,0.000863181013854055,0.00160839395581472,7.38499311852914e-05
"16","District of Columbia","2011",110076.2,2949,477.19,1130.27,108,17.48,617996,172,27.83,3756,607.77,6985,0.0113026621531531,0.00477187554612004,0.000278318953520735,0.00607770924083651,0.00017475841267581
"17","District of Columbia","2012",112737,3399,537.54,1177.88,88,13.92,632323,236,37.32,3725,589.1,7448,0.0117787902701626,0.00537541731045684,0.000373226974188824,0.00589097660531089,0.000139169380206002
"18","District of Columbia","2013",114891,3724,576.07,1218.97,103,15.93,646449,393,60.79,3660,566.17,7880,0.0121896700281074,0.00576070192698883,0.000607936588965255,0.00566169953082146,0.000159331981331861
"19","District of Columbia","2014",119994.4,4004,607.69,1185.32,105,15.94,658893,470,71.33,3231,490.37,7810,0.011853214406588,0.00607685921689865,0.000713317640345246,0.00490367935309678,0.000159358196247342
"20","District of Columbia","2015",125434.6,4024,598.61,1202.57,162,24.1,672228,494,73.49,3404,506.38,8084,0.0120256817627353,0.00598606425200973,0.000734869716822269,0.00506375812968219,0.000240989664221068
"21","Florida","2011",746787.5,13831,2638.58,4160.66,286,53.54,2945876,934,159.61,6712,1308.92,21763,0.00738761577201484,0.00469503808035369,0.000317053399396309,0.00227843941835977,9.70848739050795e-05
"22","Florida","2012",769309,13323,2542.41,3951.41,290,51.09,2996538,819,133.62,6329,1224.28,20761,0.00692832862456608,0.00444613083498357,0.000273315405978499,0.00211210403472274,9.67783488812757e-05
"23","Florida","2013",800704,12511,2345.88,3830.83,296,50.08,3039811,1200,186.59,6654,1248.28,20661,0.0067968041434155,0.00411571640473701,0.000394761384836097,0.00218895187891616,9.73744749262372e-05
"24","Florida","2014",839706,13596,2400.91,3777.03,304,51.05,3090048,1239,198.92,6178,1126.16,21317,0.00689859833892548,0.00439993165154716,0.000400964645209395,0.0019993216933847,9.8380348784226e-05
"25","Florida","2015",895004.2,13651,2445.26,3757.82,324,56.75,3133280,1189,193.22,5933,1062.6,21097,0.00673319971403769,0.0043567762855538,0.000379474544247562,0.00189354286881479,0.000103406015421539
"26","Georgia","2011",429574,3518,826.73,1432.79,88,20.68,425533,148,34.78,2343,550.6,6097,0.0143279134638207,0.00826727891843876,0.000347799113112262,0.0055060359596083,0.000206799472661345
"27","Georgia","2012",444132,3555,813.42,1379.05,83,18.99,437041,113,25.86,2276,520.77,6027,0.0137904681711784,0.00813424827418938,0.000258556977491814,0.00520774938735725,0.000189913532140005
"28","Georgia","2013",460585,2965,657.4,1223.01,83,18.4,451020,105,23.28,2363,523.92,5516,0.012230056316793,0.00657398784976276,0.000232805640548091,0.00523923551062037,0.000184027315861824
"29","Georgia","2014",484915.4,3004,661.15,1227.43,93,20.47,454363,151,33.23,2329,512.59,5577,0.0122743269148236,0.0066114538375704,0.000332333398626209,0.00512585751920821,0.000204682159418791
"30","Georgia","2015",513100.5,2944,633.51,1119.62,94,20.23,464710,170,36.58,1995,429.3,5203,0.0111962299068236,0.0063351337393213,0.000365819543371135,0.00429299993544361,0.000202276688687569
"31","Hawaii","2011",70482.6,1332,138.25,245.99,14,1.45,963465,203,21.07,821,85.21,2370,0.00245987140165963,0.00138251000295807,0.000210697845796163,0.000852132666988422,1.45308859169767e-05
"32","Hawaii","2012",73583,1246,127.68,239.37,11,1.13,975875,165,16.91,914,93.66,2336,0.0023937491994364,0.00127680286921993,0.000169079031638273,0.000936595363135647,1.12719354425516e-05
"33","Hawaii","2013",75788,1294,131.41,231.14,18,1.83,984683,221,22.44,743,75.46,2276,0.00231140377156912,0.00131412850633148,0.000224437712441466,0.000754557558117689,1.82799946784904e-05
"34","Hawaii","2014",77972.5,1166,117.3,228.66,19,1.91,994034,320,32.19,768,77.26,2273,0.00228664210680922,0.0011729981067046,0.000321920578169358,0.00077260938760646,1.91140343288057e-05
"35","Hawaii","2015",82739.9,1208,120.88,243.87,15,1.5,999307,318,31.82,896,89.66,2437,0.00243869001217844,0.00120883772454311,0.00031822052682509,0.000896621358601511,1.50104022087306e-05
"36","Illinois","2011",688288.9,12408,458.92,1045.71,431,15.94,2703713,1459,53.96,13975,516.88,28273,0.0104571010310636,0.00458924449451551,0.000539628281552073,0.00516881784420166,0.000159410410794341
"37","Illinois","2012",720702,12272,453.11,1019.8,500,18.46,2708382,1372,50.66,13476,497.57,27620,0.0101979705964668,0.00453111857928461,0.000506575512612327,0.00497566443729134,0.000184612067278545
"38","Illinois","2013",739628,12108,445.06,944.22,416,15.29,2720554,1338,49.18,11826,434.69,25688,0.00944219449420964,0.00445056411304462,0.00049181159425617,0.00434690875461395,0.000152910032294893
"39","Illinois","2014",765910.2,12530,459.96,885.9,415,15.23,2724121,1388,50.95,9800,359.75,24133,0.00885900442748321,0.00459964884085545,0.000509522154118705,0.00359749071351823,0.000152342718990823
"40","Illinois","2015",791625.9,13104,480.23,903.84,478,17.52,2728695,1432,52.48,9649,353.61,24663,0.00903838648144992,0.00480229560284312,0.000524792987123882,0.00353612257874185,0.000175175312741072
"41","Indiana","2011",288749.1,5267,632.27,1100.81,96,11.52,833024,435,52.22,3372,404.79,9170,0.011008086201598,0.00632274700368777,0.000522193838352797,0.00404790258143823,0.000115242778119238
"42","Indiana","2012",297553,5967,711.5,1185.48,97,11.57,838650,436,51.99,3442,410.42,9942,0.0118547665891612,0.00711500626006081,0.000519883145531509,0.00410421510761343,0.000115662075955405
"43","Indiana","2013",308682,5894,693.23,1232.5,129,15.17,850220,656,77.16,3800,446.94,10479,0.0123250452823975,0.00693232339864976,0.000771565006704147,0.00446943144127402,0.000151725435769566
"44","Indiana","2014",325040.6,6251,728.35,1254.66,136,15.85,858238,573,66.76,3808,443.7,10768,0.0125466362477541,0.00728352741314181,0.000667646969721686,0.00443699766265302,0.000158464202237608
"45","Indiana","2015",330026.5,6497,752.25,1287.98,148,17.14,863675,677,78.39,3802,440.21,11124,0.0128798448490462,0.00752250557211914,0.000783859669435841,0.00440211885257765,0.000171360754913596
