"","State","Report_year","gdp_percapita","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","Arizona","1997",34434,11342,1761.35,2666.22,238,28.92,2009063,845,132.32,5621,743.61,18046,0.00898229672240243,0.00564541778928784,0.000420594077935834,0.00279782167109742,0.000118463184081335
"2","Arizona","1998",36311,10627,1598.99,2527.72,241,27.73,2057957,830,138.97,5750,762.04,17448,0.00847831125723229,0.0051638591088152,0.00040331260565697,0.00279403311147901,0.00011710643128112
"3","Arizona","1999",38300,10130,1492.11,2324.35,259,27.54,2065704,779,120.98,5470,683.74,16638,0.00805439695135412,0.00490389717016572,0.000377111144675133,0.00264800765259689,0.000125380983916379
"4","Arizona","2000",39185,9925,1421.73,2275.3,227,27.62,2204119,897,135.15,5640,690.78,16689,0.00757173274219768,0.00450293291786877,0.000406965322652724,0.00255884550698034,0.00010298899469584
"5","Arizona","2001",39170,9997,1409.38,2342.29,268,27.78,2280029,827,118.88,6779,786.25,17871,0.00783805820013693,0.00438459335385646,0.00036271468476936,0.00297320779691837,0.000117542364592731
"6","Arizona","2002",39323,10681,1479.47,2322.27,246,26.9,2344092,877,125.08,6015,690.83,17819,0.00760166409850808,0.00455656177317273,0.000374132073314529,0.00256602556554947,0.00010494468647135
"7","Arizona","2003",40769,9918,1339.66,2145.25,302,29.51,2354415,972,128.18,5585,647.89,16777,0.00712576160107713,0.00421251138817923,0.000412841406464026,0.00237213915133908,0.00012826965509479
"8","Arizona","2004",41063,9862,1338.8,2156.8,279,29.61,2396466,1001,136.22,5696,652.19,16838,0.00702617938247403,0.00411522633744856,0.000417698394218821,0.00237683322025015,0.000116421430556494
"9","Arizona","2005",43018,10228,1295.26,2186.62,304,31.8,2448083,1105,150.64,6382,708.91,18019,0.00736045305653444,0.00417796292037484,0.000451373584964235,0.00260693775496991,0.000124178796225455
"10","Arizona","2006",44086,9954,1169.81,2046.78,312,30.68,2512380,1047,135.34,6546,710.98,17859,0.00710839920712631,0.00396198027368471,0.000416736321734769,0.00260549757600363,0.000124185035703198
"11","Arizona","2007",44168,9247,1114.07,1997.06,283,27.95,2519573,961,124.45,6994,730.6,17485,0.00693966795167276,0.00367006631679257,0.000381413834804548,0.00277586718066911,0.000112320619406542
"12","Arizona","2008",41800,8938,1104.28,1964.88,248,26.32,2571576,888,112.08,6932,722.19,17006,0.00661306529536751,0.00347568961601757,0.000345313535357306,0.00269562322871266,9.64389152799684e-05
"13","Arizona","2009",38232,7656,915.57,1620.95,171,17,2616211,849,96.03,5614,592.35,14290,0.00546209766719886,0.00292636947096392,0.00032451510982868,0.00214585138584006,6.53617005662005e-05
"14","Arizona","2010",37936,7287,935.24,1601.6,182,21.25,2404789,804,94.73,4849,550.39,13122,0.00545661178589889,0.00303020348146968,0.000334332866625721,0.00201639312222403,7.56823155794542e-05
