"","State","Report_year","unemployment_rate","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","Arizona","1980",6.6,5659,1322.69,2230.32,151,31.47,1254052,721,156.67,3885,719.48,10416,0.00830587567341705,0.00451257204645421,0.000574936286533573,0.00309795766044789,0.000120409679981372
"2","Arizona","1981",6.2,5412,1259.36,2100.29,125,20.94,1289909,622,132.25,3711,687.75,9870,0.00765170256196367,0.00419564480905242,0.00048220455861615,0.00287694713347996,9.69060608151428e-05
"3","Arizona","1982",10.1,4784,1146.22,1952.1,129,22.45,1320853,707,145.91,3441,637.53,9061,0.00685996094947735,0.00362190190732807,0.000535260168996853,0.00260513471218977,9.76641609626507e-05
"4","Arizona","1983",8.8,5052,1170.51,1880.88,117,21.93,1368464,788,151.14,2887,537.29,8844,0.00646272024693379,0.00369173029031089,0.000575828081703282,0.00210966455822002,8.5497316699599e-05
"5","Arizona","1984",5.2,6165,1289.7,2007.75,132,21.64,1423712,863,167,3042,529.43,10202,0.00716577510058214,0.00433022970937942,0.000606161920388393,0.00213666809017554,9.27153806387809e-05
"6","Arizona","1985",6.3,7592,1540.53,2371.4,129,22.33,1474669,1002,183.73,3632,624.81,12355,0.00837815130039351,0.0051482739516461,0.000679474512585536,0.00246292557855356,8.74772576083175e-05
"7","Arizona","1986",6.9,8728,1582.55,2487.64,174,28.71,1534780,935,179.91,4253,696.47,14090,0.00918046886198673,0.00568680853281904,0.000609207834347594,0.00277108119730515,0.000113371297514953
"8","Arizona","1987",6.5,8554,1550.12,2310,143,21.46,1570151,880,165.5,3420,572.9,12997,0.00827754782820251,0.00544788367488222,0.000560455650443811,0.00217813445967936,9.10740431971193e-05
"9","Arizona","1988",6.4,8860,1582.35,2332.77,148,23.34,1602533,845,164.55,3547,562.52,13400,0.00836176228508243,0.00552874730192764,0.000527290233648855,0.00221337095710354,9.23537924024029e-05
"10","Arizona","1989",5.3,8659,1514.94,2200.36,176,27.05,1621150,719,131.84,3514,526.54,13068,0.00806094439132714,0.00534127008605003,0.00044351232150017,0.00216759707614965,0.000108564907627302
"11","Arizona","1990",5.3,10445,1748.61,2590.69,167,23.54,1676884,897,156.58,4560,661.97,16069,0.00958265449488456,0.00622881487330072,0.000534920722005816,0.00271932942290582,9.95894766722087e-05
