"","State","Assaults","Assaults_percapita","Crimes_percapita","Homicides","Homicides_Percapita","Population","Rapes","Rapes_percapita","Robberies","Robberies_percapita","Violent_crimes","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","Arizona",348572,55483.79,88341.42,7931,1032.66,77857557,35954,5789.96,190309,26035.02,582766,0.0074850280750525,0.00447704774502493,0.000461792039018126,0.00244432277781333,0.000101865513196105
"2","California",2093002,196706.46,393892.1,51317,5259.12,358804710,164424,18526.59,1681477,173400.1,3990220,0.0111208685081085,0.00583326233370794,0.000458254854012368,0.00468632922906726,0.000143022091320931
"3","Colorado",138549,38536.9,64864.58,3255,747,32295302,22848,5596.31,82964,19984.3,247616,0.00766724522346935,0.0042900667100125,0.000707471321989805,0.00256891853805857,0.000100788653408474
"4","District of Columbia",187757,31569.13,71974.51,9889,1660.97,24867264,12195,1980.79,224096,36763.52,433937,0.0174501304204596,0.00755036822707959,0.000490403769389347,0.00901168701148627,0.000397671412504407
"5","Florida",879203,195792.13,335117.58,16237,3360.55,104682247,61144,13296.07,546838,122668.89,1503422,0.0143617666135883,0.00839877844807821,0.000584091398038103,0.00522378928300995,0.000155107484462002
"6","Georgia",234928,54583.09,99462.95,6249,1443.13,18019209,17134,3969.46,170759,39467.24,429070,0.0238118110511954,0.0130376422183682,0.000950874147694274,0.0094764981082133,0.000346796576919664
"7","Hawaii",40373,4576.81,11007.7,1210,146.2,35294778,10093,1176.24,43096,5108.45,94772,0.00268515642738991,0.00114388026466691,0.000285962982965922,0.00122103048785291,3.42826919041678e-05
"8","Illinois",951805,33179.68,68150.84,27727,957.15,118467098,90209,3128.95,891145,30885.05,1960886,0.0165521569541612,0.00803434047147842,0.000761468808833318,0.00752229956709162,0.000234048106757878
"9","Indiana",150160,24678.24,46153.77,3850,643.83,25445301,18662,3204.36,106835,17627.29,279507,0.0109846214827641,0.0059012860567065,0.000733416358485993,0.00419861411739637,0.00015130495017528
"10","Kansas",54158,16044.77,28484.03,1098,349.37,13210201,9011,2789.28,29231,9300.67,93498,0.0070777121407918,0.00409971051916621,0.000682124367373365,0.0022127596695917,8.31175846605211e-05
"11","Kentucky",26180,4042.09,7800.77,772,119.59,8404504,2587,400.62,20877,3238.52,50416,0.00599868832235668,0.00311499643524472,0.000307811145071738,0.00248402523218503,9.18555098551919e-05
"12","Louisiana",111347,23162.86,55012.36,9313,1997.11,19694352,12618,2541.05,137192,27311.29,270470,0.0137333789910935,0.00565375291352566,0.000640691300734342,0.00696605808609494,0.000472876690738543
"13","Maryland",574301,82214.57,162065.58,15927,2303.72,115323570,43335,6231.45,503043,71315.77,1136606,0.0098557996426923,0.00497991000452032,0.000375768804243573,0.00436201376700357,0.000138107066924827
"14","Massachusetts",184646,31731.1,64244.54,3043,521.03,24119443,15843,2715,170604,29277.44,374136,0.0155118009980579,0.00765548358641615,0.000656855964708638,0.00707329767109464,0.000126163775838439
"15","Michigan",420940,43667.85,90957.88,19497,1928.1,41436021,40857,3929,436709,41432.9,918003,0.0221547093047375,0.0101587939633489,0.000986026143774761,0.0105393565661143,0.000470532631499535
"16","Minnesota",83265,22275.44,52773.55,1831,489.49,15423642,17725,4735.43,94426,25273.21,197247,0.0127886137398677,0.00539853038601389,0.00114920976511255,0.00612215973373863,0.000118713855002599
"17","Missouri",388511,93604.83,165351.1,11527,2766.41,34806021,28041,6525.68,263081,62454.19,691160,0.0198574838531529,0.0111621779461663,0.000805636473068841,0.00755849110129538,0.000331178332622393
"18","Nebraska",73021,19680.28,30639.1,1253,330.35,15503829,7671,2049.43,32228,8579.01,114173,0.00736418080978576,0.00470986876854743,0.000494780998939036,0.00207871229745891,8.08187448403875e-05
"19","Nevada",151613,16657.02,36518.51,4004,545.07,35093833,19199,2379.41,130103,16937,304919,0.00868867758047404,0.00432021774310033,0.000547076177173351,0.0037072895400169,0.000114094120183452
"20","New Jersey",109761,37049.26,91737.63,4007,1350.55,12131155,10457,3388.43,149529,49949.45,273754,0.0225661942329481,0.0090478606530046,0.000861995415935251,0.0123260316103454,0.000330306553662862
"21","New Mexico",118638,28075.22,43040.81,1722,418.61,17362723,10737,2540.07,50085,12006.88,181182,0.0104351143538948,0.00683291439942917,0.000618393785352678,0.00288462817727381,9.91779918391833e-05
"22","New York",1943436,55567.75,123690.66,51176,1459.02,420753959,117972,4890.58,2477520,61773.27,4590104,0.0109092354375209,0.00461893693078714,0.000280382388511287,0.00588828684081378,0.000121629277408653
