"","Report_year","population","Assaults","Assaults_percapita","Rapes","Rapes_percapita","Robberies","Robberies_percapita","City","Crimes_percapita","Homicides","Homicides_Percapita","Violent_crimes","crime_rate","total_crime_rate","assault_rate","rape_rate","robbery_rate","homicide_rate"
"1","1975",47344183,179109,22663.63,24357,3391.09,291395,31334.19,"United States",487.8,20510,9.6,1039710,0.021960670437591,0.021960670437591,0.00378312579604552,0.000514466581881876,0.00615482159656235,0.000433210559362699
"2","1976",47321965,178843,22877.69,23928,3462.35,267604,27758.25,"United States",467.8,18780,8.7,1004210,0.0212208009536375,0.0212208009536375,0.00377928093222672,0.000505642569998942,0.00565496382071201,0.000396855878660153
"3","1977",47362778,186593,24982.04,26356,3781.46,251230,27460.08,"United States",475.9,19120,8.8,1029580,0.021738167469822,0.021738167469822,0.00393965489102012,0.000556470737421694,0.00530437636069405,0.000403692536784899
"4","1978",46921387,197589,27070.92,28148,4179.59,255960,29242.77,"United States",497.8,19560,9,1085550,0.0231355053506837,0.0231355053506837,0.00421106477521647,0.000599897014979544,0.00545508170932799,0.000416867472395903
"5","1979",46940998,215948,30033.47,31494,4734.98,286020,33178.26,"United States",548.9,21460,9.8,1208030,0.0257350727822191,0.0257350727822191,0.00460041348077005,0.000670927362899272,0.00609318106104178,0.00045716965796083
"6","1980",47103419,228955,32588.59,33002,5162.04,339684,39332.07,"United States",596.6,23040,10.2,1344520,0.0285440001711978,0.0285440001711978,0.00486068750126185,0.000700628546730334,0.0072114510413777,0.000489136467991846
"7","1981",47744353,223673,31758.33,32042,4928.07,358031,40848.78,"United States",593.5,22520,9.8,1361820,0.0285231637760386,0.0285231637760386,0.00468480534231975,0.000671116016589438,0.00749891824903356,0.000471678818225896
"8","1982",48338985,228961,32706.37,30681,4628.06,339094,37382.65,"United States",570.8,21010,9.1,1322390,0.0273565942685805,0.0273565942685805,0.00473657028586761,0.000634705093621639,0.00701491766945458,0.000434638832404114
"9","1983",48900834,232323,31924.38,31800,4584.25,319230,34310.43,"United States",538.1,19308,8.3,1258087,0.0257273117264217,0.0257273117264217,0.00475090056746271,0.000650295657534184,0.00652810952058609,0.000394839891687737
"10","1984",49055031,262248,34567.51,33679,4822.7,309016,33096.71,"United States",539.9,18692,7.9,1273282,0.0259561960117811,0.0259561960117811,0.00534599601007285,0.000686555472770978,0.00629937426805418,0.000381041447104579
"11","1985",49191535,281844,38077.85,36204,5159.04,314797,35015.1,"United States",558.1,18976,8,1327767,0.0269917781585795,0.0269917781585795,0.00572952236599244,0.000735980286039051,0.00639941404552633,0.000385757427573667
"12","1986",49677351,330836,42773.08,36736,5312.2,339185,38079.3,"United States",620.1,20613,8.6,1489169,0.029976819818754,0.029976819818754,0.00665969487785289,0.000739491926612593,0.00682775939481958,0.000414937583930351
"13","1987",50251736,343652,42820.06,35221,5007.9,317554,35021.18,"United States",612.5,20096,8.3,1483999,0.029531298182415,0.029531298182415,0.00683860951589812,0.000700891209012162,0.00631926427377554,0.000399906582331802
"14","1988",50770146,361353,43085.34,34588,4928.99,325627,34828.81,"United States",640.6,20675,8.5,1566221,0.0308492514478883,0.0308492514478883,0.00711743078304325,0.000681266506501675,0.00641374952910319,0.000407227507283513
"15","1989",50779917,388498,47946.31,33592,4817.1,354522,38592.74,"United States",666.9,21500,8.7,1646037,0.0324151179687828,0.0324151179687828,0.0076506229815224,0.000661521364834054,0.00698153957203199,0.000423395729457376
"16","1990",50567789,419290,53754.69,36541,5452.32,398272,43556.52,"United States",729.6,23438,9.4,1820127,0.0359938022997209,0.0359938022997209,0.00829164193830978,0.000722614152657535,0.00787600185564767,0.000463496634191382
"17","1991",51305405,430026,54409.9,36058,5317.89,421944,45482.34,"United States",758.2,24703,9.8,1911767,0.0372624872564596,0.0372624872564596,0.00838168999932853,0.000702810941654198,0.00822416273685004,0.000481489231007922
"18","1992",51806850,432107,55390.01,35249,5158.02,403039,44507.68,"United States",757.7,23760,9.3,1932274,0.0372976546537765,0.0372976546537765,0.00834073100371862,0.000680392650778806,0.00777964689997558,0.000458626610187649
"19","1993",51642893,431000,56928.9,33328,4932.27,390716,44725.75,"United States",747.1,24526,9.5,1926017,0.0372949090981406,0.0372949090981406,0.00834577567139781,0.000645355015258343,0.00756572642047764,0.000474915299574716
"20","1994",52216950,420663,55071.1,31375,4576.34,354592,41463.09,"United States",713.6,23326,9,1857670,0.0355759959170346,0.0355759959170346,0.00805606225564687,0.000600858533483859,0.00679074515076043,0.000446713184128908
"21","1995",51889328,402129,53272.26,30041,4430.09,324540,39501.15,"United States",684.5,21606,8.2,1798792,0.0346659336193369,0.0346659336193369,0.00774974383942687,0.000578943708810413,0.00625446527270502,0.000416386197948064
"22","1996",52433301,380617,50580.34,29340,4297.68,296351,36497.02,"United States",636.6,19645,7.4,1688540,0.0322035799348204,0.0322035799348204,0.00725906995632413,0.000559568050083286,0.00565196152727443,0.000374666473888417
"23","1997",52881202,367743,47966.86,27730,4001.79,263843,32228.62,"United States",611,18208,6.8,1636096,0.0309390849322979,0.0309390849322979,0.00695413466584969,0.000524382936681356,0.00498935330554703,0.0003443189509951
"24","1998",53227331,351669,44681.46,26494,3786.51,234004,28670.05,"United States",567.6,16974,6.3,1533887,0.028817657605263,0.028817657605263,0.00660692530309288,0.00049775180348607,0.0043963128641562,0.000318896320388486
"25","1999",53703720,330449,42140.42,24679,3491.91,217483,26605.41,"United States",523,15522,5.7,1426044,0.0265539147008811,0.0265539147008811,0.00615318640868826,0.000459539860553422,0.00404968221940677,0.000289030257121853
"26","2000",55913270,329141,40224.15,24552,3370.67,213910,25617.33,"United States",506.5,15586,5.5,1425486,0.02549459189205,0.02549459189205,0.00588663478276266,0.000439108640936221,0.00382574655354623,0.000278753147508633
"27","2001",56656392,326097,39358.75,23934,3282.84,217369,26177.05,"United States",504.5,16037,5.6,1439480,0.0254071950081114,0.0254071950081114,0.0057556965505322,0.000422441301945242,0.00383661917617345,0.000283057205619447
"28","2002",57425521,317150,37977.82,24305,3268.13,213080,25300.46,"United States",494.4,16229,5.6,1423677,0.0247917123816778,0.0247917123816778,0.00552280579221911,0.000423243874443908,0.00371054535143007,0.000282609538710149
"29","2003",58057152,294279,35941.96,23461,3186.22,208401,24856.79,"United States",475.8,16528,5.7,1383676,0.0238329982152759,0.0238329982152759,0.00506878118995572,0.00040410180644066,0.00358958358825455,0.000284684994537796
"30","2004",58094106,286501,36010.25,23174,3194.48,196543,23804.3,"United States",463.2,16148,5.5,1360088,0.0234118070428694,0.0234118070428694,0.0049316706930648,0.000398904494717588,0.00338318314081639,0.000277962793678243
"31","2005",58356575,281288,36551.66,22746,3128.26,204989,24842.28,"United States",469,16740,5.6,1390745,0.0238318475681618,0.0238318475681618,0.00482015951073208,0.000389776130624527,0.00351269758377698,0.000286857136492332
"32","2006",58744063,278598,36421.57,22190,3097.21,214051,26277.16,"United States",479.3,17309,5.8,1435123,0.0244300943228935,0.0244300943228935,0.00474257287923717,0.000377740300326179,0.00364378950090667,0.000294651052651908
"33","2007",58554165,272239,36071.76,21141,3004.03,210704,26184.09,"United States",471.8,17128,5.7,1422970,0.0243017725553767,0.0243017725553767,0.00464935329536336,0.000361050319819265,0.00359844598586625,0.000292515485448388
"34","2008",59558390,264209,34082.35,20160,2737,206677,24942.08,"United States",458.6,16465,5.4,1394461,0.0234133427716901,0.0234133427716901,0.00443613401906935,0.000338491352771625,0.00347015760499906,0.000276451395009167
"35","2009",60385217,249491,31269.99,19895,2687.29,188615,22391.62,"United States",431.9,15399,5,1325896,0.0219572946140112,0.0219572946140112,0.00413165692523718,0.000329468055070498,0.00312352938965178,0.000255012745917598
"36","2010",59223241,241700,31022.21,19660,2691.35,171034,20861.68,"United States",404.5,14722,4.8,1251248,0.0211276515582793,0.0211276515582793,0.00408116806711068,0.000331964270580869,0.00288795407194956,0.000248584841886651
"37","2011",59819081,232878,29320.59,19573,2633.88,165825,20349.6,"United States",387.1,14661,4.7,1206031,0.020161309398919,0.020161309398919,0.0038930387446106,0.000327203288194949,0.00277210878582371,0.000245089021009868
"38","2012",60479280,239243,29942.49,19709,2615.8,166938,20306.37,"United States",386.9,14827,4.7,1214464,0.0200806623359273,0.0200806623359273,0.00395578452653537,0.00032588020227754,0.00276025111410056,0.000245158341832112
"39","2013",61092218,230952,28331.34,22739,3095.07,163472,20142.87,"United States",369.1,14319,4.5,1168298,0.0191235158625277,0.0191235158625277,0.0037803832887521,0.000372207799035877,0.00267582362126711,0.000234383371053904
"40","2014",61828407,237519,28820.36,27107,3432.23,151336,18476.44,"United States",361.6,14164,4.4,1153022,0.0186487418315662,0.0186487418315662,0.00384158369145755,0.000438423069835844,0.00244767748908685,0.000229085636962958
"41","2015",62560261,239964,28418.47,29423,3557.33,149998,17503.11,"United States",372.6,15696,4.9,1197704,0.0191448050384572,0.0191448050384572,0.0038357256853516,0.000470314534013853,0.00239765623739965,0.000250894093936085
